date,volume_t-19,volume_t-2,volume_t-18,volume_t-15,volume_t-3,volume
2014-10-01,908184,2120557,1345766,995855,1626565,2481276
2014-10-02,1345766,2481276,1286053,2590395,2120557,1708052
2014-10-03,1286053,1708052,1477856,1621086,2481276,1577280
2014-10-06,1477856,1577280,995855,1379832,1708052,1157370
2014-10-07,995855,1157370,2590395,2710468,1577280,1515558
2014-10-08,2590395,1515558,1621086,2867046,1157370,2124682
2014-10-09,1621086,2124682,1379832,2173992,1515558,2526263
2014-10-10,1379832,2526263,2710468,1686631,2124682,5133638
2014-10-13,2710468,5133638,2867046,1632282,2526263,2527277
2014-10-14,2867046,2527277,2173992,1650529,5133638,3972861
2014-10-15,2173992,3972861,1686631,1629584,2527277,4723905
2014-10-16,1686631,4723905,1632282,2218441,3972861,5362096
2014-10-17,1632282,5362096,1650529,1626565,4723905,3810818
2014-10-20,1650529,3810818,1629584,2120557,5362096,4942206
2014-10-21,1629584,4942206,2218441,2481276,3810818,2231876
2014-10-22,2218441,2231876,1626565,1708052,4942206,2161086
2014-10-23,1626565,2161086,2120557,1577280,2231876,1754719
2014-10-24,2120557,1754719,2481276,1157370,2161086,1508194
2014-10-27,2481276,1508194,1708052,1515558,1754719,1105293
2014-10-28,1708052,1105293,1577280,2124682,1508194,1714329
2014-10-29,1577280,1714329,1157370,2526263,1105293,1484268
2014-10-30,1157370,1484268,1515558,5133638,1714329,2504261
2014-10-31,1515558,2504261,2124682,2527277,1484268,2087828
2014-11-03,2124682,2087828,2526263,3972861,2504261,4559916
2014-11-04,2526263,4559916,5133638,4723905,2087828,5765189
2014-11-05,5133638,5765189,2527277,5362096,4559916,2341387
2014-11-06,2527277,2341387,3972861,3810818,5765189,2968264
2014-11-07,3972861,2968264,4723905,4942206,2341387,2458734
2014-11-10,4723905,2458734,5362096,2231876,2968264,2583931
2014-11-11,5362096,2583931,3810818,2161086,2458734,2163823
2014-11-12,3810818,2163823,4942206,1754719,2583931,2504261
2014-11-13,4942206,2504261,2231876,1508194,2163823,1805461
2014-11-14,2231876,1805461,2161086,1105293,2504261,1331282
2014-11-17,2161086,1331282,1754719,1714329,1805461,2697164
2014-11-18,1754719,2697164,1508194,1484268,1331282,5891377
2014-11-19,1508194,5891377,1105293,2504261,2697164,4012147
2014-11-20,1105293,4012147,1714329,2087828,5891377,2303826
2014-11-21,1714329,2303826,1484268,4559916,4012147,5306170
2014-11-24,1484268,5306170,2504261,5765189,2303826,2122424
2014-11-25,2504261,2122424,2087828,2341387,5306170,2713879
2014-11-26,2087828,2713879,4559916,2968264,2122424,1752695
2014-11-28,4559916,1752695,5765189,2458734,2713879,1091780
2014-12-01,5765189,1091780,2341387,2583931,1752695,4411159
2014-12-02,2341387,4411159,2968264,2163823,1091780,2014436
2014-12-03,2968264,2014436,2458734,2504261,4411159,2250275
2014-12-04,2458734,2250275,2583931,1805461,2014436,1346823
2014-12-05,2583931,1346823,2163823,1331282,2250275,1019549
2014-12-08,2163823,1019549,2504261,2697164,1346823,1425753
2014-12-09,2504261,1425753,1805461,5891377,1019549,1803210
2014-12-10,1805461,1803210,1331282,4012147,1425753,2654911
2014-12-11,1331282,2654911,2697164,2303826,1803210,1640864
2014-12-12,2697164,1640864,5891377,5306170,2654911,2335765
2014-12-15,5891377,2335765,4012147,2122424,1640864,4510349
2014-12-16,4012147,4510349,2303826,2713879,2335765,3849394
