date,volume_t-20,volume_t-19,volume_t-18,volume_t-17,volume_t-16,volume_t-15,volume_t-14,volume_t-13,volume_t-12,volume_t-11,volume_t-10,volume_t-9,volume_t-8,volume_t-7,volume_t-6,volume_t-5,volume_t-4,volume_t-3,volume_t-2,volume_t-1,volume
2013-08-19,2934199,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,1727559
2013-08-20,1831121,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,2294328
2013-08-21,1420233,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,1949054
2013-08-22,3694988,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,3147986
2013-08-23,1962142,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,1702511
2013-08-26,2791858,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2012701
2013-08-27,2807402,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,2138064
2013-08-28,2745041,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1590425
2013-08-29,2387817,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1900662
2013-08-30,1875418,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1358573
2013-09-03,2280909,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,1565632
2013-09-04,1702122,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,2522043
2013-09-05,1702407,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1313188
2013-09-06,1958449,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1332857
2013-09-09,1247241,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1668867
2013-09-10,2078213,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1821283
2013-09-11,1989871,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1783424
2013-09-12,6708341,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,1468485
2013-09-13,3624694,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,2141143
2013-09-16,1727559,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1861513
2013-09-17,2294328,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,1578387
2013-09-18,1949054,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,2044234
2013-09-19,3147986,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,18146408
2013-09-20,1702511,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,10692052
2013-09-23,2012701,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2716907
2013-09-24,2138064,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2185721
2013-09-25,1590425,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2865074
2013-09-26,1900662,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2680307
2013-09-27,1358573,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2110103,2110103
2013-09-30,1565632,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2110103,2650001,2650001
2013-10-01,2522043,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2110103,2650001,2997047,2997047
2013-10-02,1313188,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2110103,2650001,2997047,2020794,2020794
2013-10-03,1332857,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2110103,2650001,2997047,2020794,1878510,1878510
2013-10-04,1668867,1821283,1783424,1468485,2141143,1861513,1578387,2044234,18146408,10692052,2716907,2185721,2865074,2680307,2110103,2650001,2997047,2020794,1878510,1867889,1867889
