date,volume_t-16,volume_t-19,volume_t-7,volume_t-10,volume_t-18,volume
2014-03-03,1975290,2911877,2407171,6553839,2283870,2488373
2014-03-04,1760468,2283870,2392783,4838795,1609451,2841919
2014-03-05,2148202,1609451,3375173,4629755,1975290,3113546
2014-03-06,2347270,1975290,2400946,2407171,1760468,5178833
2014-03-07,3097011,1760468,3123781,2392783,2148202,3247154
2014-03-10,17862776,2148202,2876261,3375173,2347270,2563418
2014-03-11,6553839,2347270,2488373,2400946,3097011,3421731
2014-03-12,4838795,3097011,2841919,3123781,17862776,1652324
2014-03-13,4629755,17862776,3113546,2876261,6553839,2318832
2014-03-14,2407171,6553839,5178833,2488373,4838795,1745218
2014-03-17,2392783,4838795,3247154,2841919,4629755,1437471
2014-03-18,3375173,4629755,2563418,3113546,2407171,1294681
2014-03-19,2400946,2407171,3421731,5178833,2392783,1804350
2014-03-20,3123781,2392783,1652324,3247154,3375173,1808447
2014-03-21,2876261,3375173,2318832,2563418,2400946,2762931
2014-03-24,2488373,2400946,1745218,3421731,3123781,1985703
2014-03-25,2841919,3123781,1437471,1652324,2876261,1727269
2014-03-26,3113546,2876261,1294681,2318832,2488373,2560731
2014-03-27,5178833,2488373,1804350,1745218,2841919,2972614
2014-03-28,3247154,2841919,1808447,1437471,3113546,2006941
2014-03-31,2563418,3113546,2762931,1294681,5178833,2190772
2014-04-01,3421731,5178833,1985703,1804350,3247154,2090720
2014-04-02,1652324,3247154,1727269,1808447,2563418,1919493
2014-04-03,2318832,2563418,2560731,2762931,3421731,1603010
2014-04-04,1745218,3421731,2972614,1985703,1652324,2307668
2014-04-07,1437471,1652324,2006941,1727269,2318832,2584538
2014-04-08,1294681,2318832,2190772,2560731,1745218,1842491
2014-04-09,1804350,1745218,2090720,2972614,1437471,2017519
2014-04-10,1808447,1437471,1919493,2006941,1294681,1966409
2014-04-11,2762931,1294681,1603010,2190772,1804350,2591968
2014-04-14,1985703,1804350,2307668,2090720,1808447,2840577
2014-04-15,1727269,1808447,2584538,1919493,2762931,2172515
2014-04-16,2560731,2762931,1842491,1603010,1985703,1243513
2014-04-17,2972614,1985703,2017519,2307668,1727269,2061997
2014-04-21,2006941,1727269,1966409,2584538,2560731,1185867
2014-04-22,2190772,2560731,2591968,1842491,2972614,1475541
2014-04-23,2090720,2972614,2840577,2017519,2006941,894232
2014-04-24,1919493,2006941,2172515,1966409,2190772,1806441
2014-04-25,1603010,2190772,1243513,2591968,2090720,1580495
2014-04-28,2307668,2090720,2061997,2840577,1919493,3009046
2014-04-29,2584538,1919493,1185867,2172515,1603010,3359741
2014-04-30,1842491,1603010,1475541,1243513,2307668,1678627
2014-05-01,2017519,2307668,894232,2061997,2584538,1472407
2014-05-02,1966409,2584538,1806441,1185867,1842491,2080946
2014-05-05,2591968,1842491,1580495,1475541,2017519,2087256
2014-05-06,2840577,2017519,3009046,894232,1966409,2224227
2014-05-07,2172515,1966409,3359741,1806441,2591968,2219204
2014-05-08,1243513,2591968,1678627,1580495,2840577,2209139
2014-05-09,2061997,2840577,1472407,3009046,2172515,1287905
2014-05-12,1185867,2172515,2080946,3359741,1243513,2042132
2014-05-13,1475541,1243513,2087256,1678627,2061997,1465527
2014-05-14,894232,2061997,2224227,1472407,1185867,2591684
2014-05-15,1806441,1185867,2219204,2080946,1475541,5740663
2014-05-16,1580495,1475541,2209139,2087256,894232,2405753
2014-05-19,3009046,894232,1287905,2224227,1806441,2742131
2014-05-20,3359741,1806441,2042132,2219204,1580495,1840126
2014-05-21,1678627,1580495,1465527,2209139,3009046,1102300
2014-05-22,1472407,3009046,2591684,1287905,3359741,1686139
2014-05-23,2080946,3359741,5740663,2042132,1678627,3510829
2014-05-27,2087256,1678627,2405753,1465527,1472407,1190619
2014-05-28,2224227,1472407,2742131,2591684,2080946,1807185
2014-05-29,2219204,2080946,1840126,5740663,2087256,1558720
2014-05-30,2209139,2087256,1102300,2405753,2224227,2547039
2014-06-02,1287905,2224227,1686139,2742131,2219204,1274846
2014-06-03,2042132,2219204,3510829,1840126,2209139,1842298
2014-06-04,1465527,2209139,1190619,1102300,1287905,1145664
2014-06-05,2591684,1287905,1807185,1686139,2042132,1833063
2014-06-06,5740663,2042132,1558720,3510829,1465527,1285879
2014-06-09,2405753,1465527,2547039,1190619,2591684,1188782
2014-06-10,2742131,2591684,1274846,1807185,5740663,1267805
2014-06-11,1840126,5740663,1842298,1558720,2405753,1410610
2014-06-12,1102300,2405753,1145664,2547039,2742131,1677989
2014-06-13,1686139,2742131,1833063,1274846,1840126,1054865
2014-06-16,3510829,1840126,1285879,1842298,1102300,1174434
2014-06-17,1190619,1102300,1188782,1145664,1686139,1328510
2014-06-18,1807185,1686139,1267805,1833063,3510829,1114749
2014-06-19,1558720,3510829,1410610,1285879,1190619,3149546
2014-06-20,2547039,1190619,1677989,1188782,1807185,2029378
2014-06-23,1274846,1807185,1054865,1267805,1558720,1435625
2014-06-24,1842298,1558720,1174434,1410610,2547039,1125825
2014-06-25,1145664,2547039,1328510,1677989,1274846,1060501
2014-06-26,1833063,1274846,1114749,1054865,1842298,1102367
2014-06-27,1285879,1842298,3149546,1174434,1145664,1519046
2014-06-30,1188782,1145664,2029378,1328510,1833063,1314906
2014-07-01,1267805,1833063,1435625,1114749,1285879,2010785
2014-07-02,1410610,1285879,1125825,3149546,1188782,1414957
2014-07-03,1677989,1188782,1060501,2029378,1267805,600744
2014-07-07,1054865,1267805,1102367,1435625,1410610,949243
2014-07-08,1174434,1410610,1519046,1125825,1677989,1615912
2014-07-09,1328510,1677989,1314906,1060501,1054865,1278504
2014-07-10,1114749,1054865,2010785,1102367,1174434,1189340
2014-07-11,3149546,1174434,1414957,1519046,1328510,1183288
2014-07-14,2029378,1328510,600744,1314906,1114749,1487761
2014-07-15,1435625,1114749,949243,2010785,3149546,2094496
2014-07-16,1125825,3149546,1615912,1414957,2029378,1868521
2014-07-17,1060501,2029378,1278504,600744,1435625,4404085
2014-07-18,1102367,1435625,1189340,949243,1125825,1706174
2014-07-21,1519046,1125825,1183288,1615912,1060501,1983914
2014-07-22,1314906,1060501,1487761,1278504,1102367,2411722
2014-07-23,2010785,1102367,2094496,1189340,1519046,1453645
2014-07-24,1414957,1519046,1868521,1183288,1314906,2534358
2014-07-25,600744,1314906,4404085,1487761,2010785,1719615
2014-07-28,949243,2010785,1706174,2094496,1414957,1510223
2014-07-29,1615912,1414957,1983914,1868521,600744,2003109
2014-07-30,1278504,600744,2411722,4404085,949243,1371335
2014-07-31,1189340,949243,1453645,1706174,1615912,2708121
2014-08-01,1183288,1615912,2534358,1983914,1278504,957560
2014-08-04,1487761,1278504,1719615,2411722,1189340,957560
2014-08-05,2094496,1189340,1510223,1453645,1183288,1733728
2014-08-06,1868521,1183288,2003109,2534358,1487761,1568834
2014-08-07,4404085,1487761,1371335,1719615,2094496,1628472
2014-08-08,1706174,2094496,2708121,1510223,1868521,1766002
2014-08-11,1983914,1868521,957560,2003109,4404085,1252725
2014-08-12,2411722,4404085,957560,1371335,1706174,2642075
2014-08-13,1453645,1706174,1733728,2708121,1983914,1721261
2014-08-14,2534358,1983914,1568834,957560,2411722,3478558
2014-08-15,1719615,2411722,1628472,957560,1453645,5578794
2014-08-18,1510223,1453645,1766002,1733728,2534358,2761606
2014-08-19,2003109,2534358,1252725,1568834,1719615,1192963
2014-08-20,1371335,1719615,2642075,1628472,1510223,1846569
2014-08-21,2708121,1510223,1721261,1766002,2003109,1228385
2014-08-22,957560,2003109,3478558,1252725,1371335,1439567
2014-08-25,957560,1371335,5578794,2642075,2708121,967137
2014-08-26,1733728,2708121,2761606,1721261,957560,888727
2014-08-27,1568834,957560,1192963,3478558,957560,1193004
2014-08-28,1628472,957560,1846569,5578794,1733728,1395449
2014-08-29,1766002,1733728,1228385,2761606,1568834,1979934
2014-09-02,1252725,1568834,1439567,1192963,1628472,2015566
2014-09-03,2642075,1628472,967137,1846569,1766002,1478032
2014-09-04,1721261,1766002,888727,1228385,1252725,790594
2014-09-05,3478558,1252725,1193004,1439567,2642075,908184
2014-09-08,5578794,2642075,1395449,967137,1721261,1345766
2014-09-09,2761606,1721261,1979934,888727,3478558,1286053
2014-09-10,1192963,3478558,2015566,1193004,5578794,1477856
2014-09-11,1846569,5578794,1478032,1395449,2761606,995855
2014-09-12,1228385,2761606,790594,1979934,1192963,2590395
2014-09-15,1439567,1192963,908184,2015566,1846569,1621086
2014-09-16,967137,1846569,1345766,1478032,1228385,1379832
2014-09-17,888727,1228385,1286053,790594,1439567,2710468
2014-09-18,1193004,1439567,1477856,908184,967137,2867046
2014-09-19,1395449,967137,995855,1345766,888727,2173992
2014-09-22,1979934,888727,2590395,1286053,1193004,1686631
2014-09-23,2015566,1193004,1621086,1477856,1395449,1632282
2014-09-24,1478032,1395449,1379832,995855,1979934,1650529
2014-09-25,790594,1979934,2710468,2590395,2015566,1629584
2014-09-26,908184,2015566,2867046,1621086,1478032,2218441
2014-09-29,1345766,1478032,2173992,1379832,790594,1626565
2014-09-30,1286053,790594,1686631,2710468,908184,2120557
2014-10-01,1477856,908184,1632282,2867046,1345766,2481276
2014-10-02,995855,1345766,1650529,2173992,1286053,1708052
2014-10-03,2590395,1286053,1629584,1686631,1477856,1577280
2014-10-06,1621086,1477856,2218441,1632282,995855,1157370
2014-10-07,1379832,995855,1626565,1650529,2590395,1515558
2014-10-08,2710468,2590395,2120557,1629584,1621086,2124682
2014-10-09,2867046,1621086,2481276,2218441,1379832,2526263
2014-10-10,2173992,1379832,1708052,1626565,2710468,5133638
2014-10-13,1686631,2710468,1577280,2120557,2867046,2527277
2014-10-14,1632282,2867046,1157370,2481276,2173992,3972861
2014-10-15,1650529,2173992,1515558,1708052,1686631,4723905
2014-10-16,1629584,1686631,2124682,1577280,1632282,5362096
2014-10-17,2218441,1632282,2526263,1157370,1650529,3810818
2014-10-20,1626565,1650529,5133638,1515558,1629584,4942206
2014-10-21,2120557,1629584,2527277,2124682,2218441,2231876
2014-10-22,2481276,2218441,3972861,2526263,1626565,2161086
2014-10-23,1708052,1626565,4723905,5133638,2120557,1754719
2014-10-24,1577280,2120557,5362096,2527277,2481276,1508194
