date,volume_t-1,volume
2015-01-28,2033523,2033523
2015-01-29,2329983,2329983
2015-01-30,3054313,3054313
2015-02-02,2508493,2508493
2015-02-03,2950375,2950375
2015-02-04,2567439,2567439
2015-02-05,1826367,1826367
2015-02-06,2697212,2697212
2015-02-09,3586102,3586102
2015-02-10,1408747,1408747
2015-02-11,3337005,3337005
2015-02-12,1317705,1317705
2015-02-13,2211931,2211931
2015-02-17,2875788,2875788
2015-02-18,9007218,9007218
2015-02-19,3737331,3737331
2015-02-20,2971880,2971880
2015-02-23,1967913,1967913
2015-02-24,1922102,1922102
2015-02-25,2343479,2343479
2015-02-26,1505418,1505418
2015-02-27,1676351,1676351
2015-03-02,1847082,1847082
2015-03-03,1635437,1635437
2015-03-04,1305992,1305992
2015-03-05,1376468,1376468
2015-03-06,1528564,1528564
2015-03-09,1492378,1492378
2015-03-10,1961299,1961299
2015-03-11,2064355,2064355
2015-03-12,2719895,2719895
2015-03-13,4704560,4704560
2015-03-16,2551437,2551437
2015-03-17,1504881,1504881
2015-03-18,1295556,1295556
2015-03-19,1085684,1085684
2015-03-20,2315472,2315472
2015-03-23,1835393,1835393
2015-03-24,3625952,3625952
2015-03-25,2776181,2776181
2015-03-26,1573740,1573740
2015-03-27,1932749,1932749
2015-03-30,2064181,2064181
2015-03-31,1659179,1659179
2015-04-01,2170331,2170331
2015-04-02,2135918,2135918
2015-04-06,2379808,2379808
2015-04-07,3072418,3072418
2015-04-08,2443178,2443178
2015-04-09,1332519,1332519
2015-04-10,3370597,3370597
2015-04-13,3708641,3708641
2015-04-14,1777705,1777705
2015-04-15,1445622,1445622
2015-04-16,1070232,1070232
2015-04-17,2333369,2333369
2015-04-20,1410574,1410574
2015-04-21,1719710,1719710
2015-04-22,2726140,2726140
2015-04-23,3973179,3973179
2015-04-24,2200155,2200155
2015-04-27,2298298,2298298
2015-04-28,1803453,1803453
2015-04-29,2160963,2160963
2015-04-30,1726312,1726312
2015-05-01,1880177,1880177
2015-05-04,1073820,1073820
2015-05-05,1254801,1254801
2015-05-06,934611,934611
2015-05-07,999682,999682
2015-05-08,1034717,1034717
2015-05-11,975490,975490
2015-05-12,2617833,2617833
2015-05-13,1992774,1992774
2015-05-14,2883667,2883667
2015-05-15,2147413,2147413
2015-05-18,1966147,1966147
2015-05-19,5277345,5277345
2015-05-20,2652326,2652326
2015-05-21,2126257,2126257
2015-05-22,1484752,1484752
2015-05-26,1919645,1919645
2015-05-27,2507443,2507443
2015-05-28,3347403,3347403
2015-05-29,5022554,5022554
2015-06-01,2440065,2440065
2015-06-02,2947454,2947454
2015-06-03,2722286,2722286
2015-06-04,4091870,4091870
2015-06-05,1760467,1760467
2015-06-08,1353411,1353411
2015-06-09,1439015,1439015
2015-06-10,1789330,1789330
2015-06-11,1576987,1576987
2015-06-12,2769551,2769551
2015-06-15,2361878,2361878
2015-06-16,1422563,1422563
2015-06-17,1519421,1519421
