date,open_t-13,volume_t-12,high_t-11,volume_t-11,volume_t-1,volume
2014-07-30,56.92,2094496,57.1,1868521,1371335,1371335
2014-07-31,56.7,1868521,56.5,4404085,2708121,2708121
2014-08-01,56.88,4404085,56.25,1706174,957560,957560
2014-08-04,56.47,1706174,56.945,1983914,957560,957560
2014-08-05,55.42,1983914,58.17,2411722,1733728,1733728
2014-08-06,55.86,2411722,58.31,1453645,1568834,1568834
2014-08-07,57.0,1453645,57.74,2534358,1628472,1628472
2014-08-08,58.11,2534358,56.735,1719615,1766002,1766002
2014-08-11,57.6,1719615,56.53,1510223,1252725,1252725
2014-08-12,56.52,1510223,56.36,2003109,2642075,2642075
2014-08-13,56.49,2003109,56.805,1371335,1721261,1721261
2014-08-14,56.29,1371335,56.58,2708121,3478558,3478558
2014-08-15,56.22,2708121,56.4,957560,5578794,5578794
2014-08-18,56.22,957560,56.4,957560,2761606,2761606
2014-08-19,56.19,957560,56.11,1733728,1192963,1192963
2014-08-20,56.19,1733728,55.72,1568834,1846569,1846569
2014-08-21,55.9,1568834,56.0,1628472,1228385,1228385
2014-08-22,55.23,1628472,55.32,1766002,1439567,1439567
2014-08-25,55.98,1766002,55.65,1252725,967137,967137
2014-08-26,55.31,1252725,55.07,2642075,888727,888727
2014-08-27,55.44,2642075,54.97,1721261,1193004,1193004
2014-08-28,54.99,1721261,55.63,3478558,1395449,1395449
2014-08-29,54.48,3478558,59.06,5578794,1979934,1979934
2014-09-02,54.78,5578794,58.62,2761606,2015566,2015566
2014-09-03,58.95,2761606,58.75,1192963,1478032,1478032
2014-09-04,57.75,1192963,58.41,1846569,790594,790594
2014-09-05,58.52,1846569,58.48,1228385,908184,908184
2014-09-08,58.32,1228385,58.04,1439567,1345766,1345766
2014-09-09,58.36,1439567,58.15,967137,1286053,1286053
2014-09-10,57.9,967137,57.9,888727,1477856,1477856
2014-09-11,57.88,888727,58.0,1193004,995855,995855
2014-09-12,57.75,1193004,57.53,1395449,2590395,2590395
2014-09-15,58.0,1395449,57.5,1979934,1621086,1621086
2014-09-16,57.14,1979934,58.1,2015566,1379832,1379832
2014-09-17,57.33,2015566,58.46,1478032,2710468,2710468
2014-09-18,57.23,1478032,58.49,790594,2867046,2867046
2014-09-19,58.21,790594,58.05,908184,2173992,2173992
2014-09-22,58.12,908184,57.96,1345766,1686631,1686631
2014-09-23,57.58,1345766,57.8,1286053,1632282,1632282
2014-09-24,57.72,1286053,57.83,1477856,1650529,1650529
2014-09-25,57.69,1477856,57.72,995855,1629584,1629584
2014-09-26,57.6,995855,58.63,2590395,2218441,2218441
2014-09-29,57.52,2590395,58.5,1621086,1626565,1626565
2014-09-30,57.61,1621086,58.11,1379832,2120557,2120557
2014-10-01,58.5,1379832,58.99,2710468,2481276,2481276
2014-10-02,57.82,2710468,59.4,2867046,1708052,1708052
2014-10-03,58.0,2867046,58.98,2173992,1577280,1577280
2014-10-06,59.2,2173992,58.19,1686631,1157370,1157370
2014-10-07,58.82,1686631,57.48,1632282,1515558,1515558
2014-10-08,58.13,1632282,58.04,1650529,2124682,2124682
