date,volume_t-1,low_t-18,volume_t-2,volume_t-4,volume_t-11,volume
2014-02-12,2347270,60.33,2148202,1975290,2163031,2347270
2014-02-13,3097011,59.86,2347270,1760468,3743153,3097011
2014-02-14,17862776,60.71,3097011,2148202,3529054,17862776
2014-02-18,6553839,59.405,17862776,2347270,2929252,6553839
2014-02-19,4838795,57.71,6553839,3097011,2911877,4838795
2014-02-20,4629755,56.98,4838795,17862776,2283870,4629755
2014-02-21,2407171,57.91,4629755,6553839,1609451,2407171
2014-02-24,2392783,57.41,2407171,4838795,1975290,2392783
2014-02-25,3375173,58.42,2392783,4629755,1760468,3375173
2014-02-26,2400946,58.05,3375173,2407171,2148202,2400946
2014-02-27,3123781,56.075,2400946,2392783,2347270,3123781
2014-02-28,2876261,56.09,3123781,3375173,3097011,2876261
2014-03-03,2488373,56.96,2876261,2400946,17862776,2488373
2014-03-04,2841919,57.46,2488373,3123781,6553839,2841919
2014-03-05,3113546,58.13,2841919,2876261,4838795,3113546
2014-03-06,5178833,58.29,3113546,2488373,4629755,5178833
2014-03-07,3247154,58.88,5178833,2841919,2407171,3247154
2014-03-10,2563418,59.67,3247154,3113546,2392783,2563418
2014-03-11,3421731,59.37,2563418,5178833,3375173,3421731
2014-03-12,1652324,54.87,3421731,3247154,2400946,1652324
2014-03-13,2318832,54.96,1652324,2563418,3123781,2318832
2014-03-14,1745218,54.9,2318832,3421731,2876261,1745218
2014-03-17,1437471,56.045,1745218,1652324,2488373,1437471
2014-03-18,1294681,56.32,1437471,2318832,2841919,1294681
2014-03-19,1804350,56.4,1294681,1745218,3113546,1804350
2014-03-20,1808447,56.75,1804350,1437471,5178833,1808447
2014-03-21,2762931,56.75,1808447,1294681,3247154,2762931
2014-03-24,1985703,56.19,2762931,1804350,2563418,1985703
2014-03-25,1727269,56.4,1985703,1808447,3421731,1727269
2014-03-26,2560731,55.785,1727269,2762931,1652324,2560731
2014-03-27,2972614,56.98,2560731,1985703,2318832,2972614
2014-03-28,2006941,57.555,2972614,1727269,1745218,2006941
2014-03-31,2190772,58.14,2006941,2560731,1437471,2190772
2014-04-01,2090720,57.52,2190772,2972614,1294681,2090720
2014-04-02,1919493,57.6,2090720,2006941,1804350,1919493
2014-04-03,1603010,56.5,1919493,2190772,1808447,1603010
2014-04-04,2307668,56.01,1603010,2090720,2762931,2307668
2014-04-07,2584538,55.77,2307668,1919493,1985703,2584538
2014-04-08,1842491,55.23,2584538,1603010,1727269,1842491
2014-04-09,2017519,55.48,1842491,2307668,2560731,2017519
2014-04-10,1966409,55.84,2017519,2584538,2972614,1966409
2014-04-11,2591968,56.18,1966409,1842491,2006941,2591968
2014-04-14,2840577,56.16,2591968,2017519,2190772,2840577
2014-04-15,2172515,55.96,2840577,1966409,2090720,2172515
2014-04-16,1243513,54.66,2172515,2591968,1919493,1243513
2014-04-17,2061997,54.98,1243513,2840577,1603010,2061997
2014-04-21,1185867,55.16,2061997,2172515,2307668,1185867
2014-04-22,1475541,54.22,1185867,1243513,2584538,1475541
2014-04-23,894232,54.42,1475541,2061997,1842491,894232
2014-04-24,1806441,54.57,894232,1185867,2017519,1806441
2014-04-25,1580495,55.835,1806441,1475541,1966409,1580495
2014-04-28,3009046,56.2,1580495,894232,2591968,3009046
2014-04-29,3359741,56.27,3009046,1806441,2840577,3359741
2014-04-30,1678627,55.55,3359741,1580495,2172515,1678627
2014-05-01,1472407,53.94,1678627,3009046,1243513,1472407
2014-05-02,2080946,53.82,1472407,3359741,2061997,2080946
2014-05-05,2087256,54.375,2080946,1678627,1185867,2087256
2014-05-06,2224227,53.9,2087256,1472407,1475541,2224227
2014-05-07,2219204,52.65,2224227,2080946,894232,2219204
2014-05-08,2209139,52.3075,2219204,2087256,1806441,2209139
2014-05-09,1287905,51.96,2209139,2224227,1580495,1287905
2014-05-12,2042132,53.25,1287905,2219204,3009046,2042132
2014-05-13,1465527,53.61,2042132,2209139,3359741,1465527
2014-05-14,2591684,54.33,1465527,1287905,1678627,2591684
2014-05-15,5740663,54.53,2591684,2042132,1472407,5740663
2014-05-16,2405753,54.571,5740663,1465527,2080946,2405753
2014-05-19,2742131,54.56,2405753,2591684,2087256,2742131
2014-05-20,1840126,54.07,2742131,5740663,2224227,1840126
2014-05-21,1102300,52.86,1840126,2405753,2219204,1102300
2014-05-22,1686139,51.97,1102300,2742131,2209139,1686139
2014-05-23,3510829,53.02,1686139,1840126,1287905,3510829
2014-05-27,1190619,53.66,3510829,1102300,2042132,1190619
2014-05-28,1807185,54.09,1190619,1686139,1465527,1807185
2014-05-29,1558720,53.888,1807185,3510829,2591684,1558720
2014-05-30,2547039,54.46,1558720,1190619,5740663,2547039
2014-06-02,1274846,54.27,2547039,1807185,2405753,1274846
2014-06-03,1842298,54.69,1274846,1558720,2742131,1842298
2014-06-04,1145664,54.81,1842298,2547039,1840126,1145664
2014-06-05,1833063,55.47,1145664,1274846,1102300,1833063
2014-06-06,1285879,56.4,1833063,1842298,1686139,1285879
2014-06-09,1188782,55.7,1285879,1145664,3510829,1188782
2014-06-10,1267805,53.75,1188782,1833063,1190619,1267805
2014-06-11,1410610,53.92,1267805,1285879,1807185,1410610
2014-06-12,1677989,54.7,1410610,1188782,1558720,1677989
2014-06-13,1054865,54.209,1677989,1267805,2547039,1054865
2014-06-16,1174434,54.44,1054865,1410610,1274846,1174434
2014-06-17,1328510,54.89,1174434,1677989,1842298,1328510
2014-06-18,1114749,55.175,1328510,1054865,1145664,1114749
2014-06-19,3149546,56.03,1114749,1174434,1833063,3149546
2014-06-20,2029378,56.31,3149546,1328510,1285879,2029378
2014-06-23,1435625,56.64,2029378,1114749,1188782,1435625
2014-06-24,1125825,56.24,1435625,3149546,1267805,1125825
2014-06-25,1060501,56.3,1125825,2029378,1410610,1060501
