date,volume_t-18,volume_t-19,volume
2014-09-26,1478032,2015566,2218441
2014-09-29,790594,1478032,1626565
2014-09-30,908184,790594,2120557
2014-10-01,1345766,908184,2481276
2014-10-02,1286053,1345766,1708052
2014-10-03,1477856,1286053,1577280
2014-10-06,995855,1477856,1157370
2014-10-07,2590395,995855,1515558
2014-10-08,1621086,2590395,2124682
2014-10-09,1379832,1621086,2526263
2014-10-10,2710468,1379832,5133638
2014-10-13,2867046,2710468,2527277
2014-10-14,2173992,2867046,3972861
2014-10-15,1686631,2173992,4723905
2014-10-16,1632282,1686631,5362096
2014-10-17,1650529,1632282,3810818
2014-10-20,1629584,1650529,4942206
2014-10-21,2218441,1629584,2231876
2014-10-22,1626565,2218441,2161086
2014-10-23,2120557,1626565,1754719
2014-10-24,2481276,2120557,1508194
2014-10-27,1708052,2481276,1105293
2014-10-28,1577280,1708052,1714329
2014-10-29,1157370,1577280,1484268
2014-10-30,1515558,1157370,2504261
2014-10-31,2124682,1515558,2087828
2014-11-03,2526263,2124682,4559916
2014-11-04,5133638,2526263,5765189
2014-11-05,2527277,5133638,2341387
2014-11-06,3972861,2527277,2968264
2014-11-07,4723905,3972861,2458734
2014-11-10,5362096,4723905,2583931
2014-11-11,3810818,5362096,2163823
2014-11-12,4942206,3810818,2504261
2014-11-13,2231876,4942206,1805461
2014-11-14,2161086,2231876,1331282
2014-11-17,1754719,2161086,2697164
2014-11-18,1508194,1754719,5891377
2014-11-19,1105293,1508194,4012147
2014-11-20,1714329,1105293,2303826
2014-11-21,1484268,1714329,5306170
2014-11-24,2504261,1484268,2122424
2014-11-25,2087828,2504261,2713879
2014-11-26,4559916,2087828,1752695
2014-11-28,5765189,4559916,1091780
2014-12-01,2341387,5765189,4411159
2014-12-02,2968264,2341387,2014436
2014-12-03,2458734,2968264,2250275
2014-12-04,2583931,2458734,1346823
2014-12-05,2163823,2583931,1019549
2014-12-08,2504261,2163823,1425753
2014-12-09,1805461,2504261,1803210
